,DATE,STATE,TOTAL_DEATHS,NEW_DEATHS,RELATIVE_DEATHS
417,1588197600000,Florida,1268,50,2.273450643386532e-06
418,1588284000000,Florida,1314,46,2.0915745919156094e-06
419,1588370400000,Florida,1364,50,2.273450643386532e-06
420,1588456800000,Florida,1399,35,1.5914154503705725e-06
421,1588543200000,Florida,1399,0,0.0
422,1588629600000,Florida,1471,72,3.273768926476606e-06
423,1588716000000,Florida,1539,68,3.0918928750056837e-06
424,1588802400000,Florida,1600,61,2.7736097849315693e-06
425,1588888800000,Florida,1669,69,3.1373618878734144e-06
426,1588975200000,Florida,1715,46,2.0915745919156094e-06
427,1589061600000,Florida,1735,20,9.093802573546129e-07
428,1589148000000,Florida,1735,0,0.0
429,1589234400000,Florida,1779,44,2.000636566180148e-06
430,1589320800000,Florida,1827,48,2.182512617651071e-06
431,1589407200000,Florida,1875,48,2.182512617651071e-06
432,1589493600000,Florida,1917,42,1.909698540444687e-06
433,1589580000000,Florida,1964,47,2.13704360478334e-06
434,1589666400000,Florida,1973,9,4.0922111580957575e-07
435,1589752800000,Florida,1997,24,1.0912563088255354e-06
436,1589839200000,Florida,2052,55,2.500795707725185e-06
437,1589925600000,Florida,2096,44,2.000636566180148e-06
438,1590012000000,Florida,2144,48,2.182512617651071e-06
439,1590098400000,Florida,2190,46,2.0915745919156094e-06
440,1590184800000,Florida,2233,43,1.9551675533124174e-06
441,1590271200000,Florida,2237,4,1.8187605147092256e-07
442,1590357600000,Florida,2252,15,6.820351930159597e-07
443,1590444000000,Florida,2259,7,3.182830900741145e-07
444,1590530400000,Florida,2319,60,2.7281407720638386e-06
445,1590616800000,Florida,2364,45,2.0461055790478787e-06
446,1590703200000,Florida,2413,49,2.2279816305188015e-06
447,1590789600000,Florida,2447,34,1.5459464375028418e-06
448,1590876000000,Florida,2451,4,1.8187605147092256e-07
449,1590962400000,Florida,2460,9,4.0922111580957575e-07
450,1591048800000,Florida,2530,70,3.182830900741145e-06
451,1591135200000,Florida,2566,36,1.636884463238303e-06
452,1591221600000,Florida,2607,41,1.8642295275769562e-06
453,1591308000000,Florida,2660,53,2.409857681989724e-06
454,1591394400000,Florida,2688,28,1.273132360296458e-06
455,1591480800000,Florida,2700,12,5.456281544127677e-07
456,1591567200000,Florida,2712,12,5.456281544127677e-07
457,1591653600000,Florida,2765,53,2.409857681989724e-06
458,1591740000000,Florida,2801,36,1.636884463238303e-06
459,1591826400000,Florida,2848,47,2.13704360478334e-06
460,1591912800000,Florida,2877,29,1.3186013731641886e-06
461,1591999200000,Florida,2925,48,2.182512617651071e-06
462,1592085600000,Florida,2931,6,2.7281407720638385e-07
463,1592172000000,Florida,2938,7,3.182830900741145e-07
464,1592258400000,Florida,2993,55,2.500795707725185e-06
465,1592344800000,Florida,3018,25,1.136725321693266e-06
466,1592431200000,Florida,3061,43,1.9551675533124174e-06
467,1592517600000,Florida,3104,43,1.9551675533124174e-06
468,1592604000000,Florida,3144,40,1.8187605147092257e-06
469,1592690400000,Florida,3161,17,7.729732187514209e-07
470,1592776800000,Florida,3173,12,5.456281544127677e-07
471,1592863200000,Florida,3238,65,2.9554858364024916e-06
472,1592949600000,Florida,3281,43,1.9551675533124174e-06
473,1593036000000,Florida,3327,46,2.0915745919156094e-06
474,1593122400000,Florida,3366,39,1.773291501841495e-06
475,1593208800000,Florida,3390,24,1.0912563088255354e-06
476,1593295200000,Florida,3419,29,1.3186013731641886e-06
477,1593381600000,Florida,3447,28,1.273132360296458e-06
478,1593468000000,Florida,3505,58,2.6372027463283772e-06
479,1593554400000,Florida,3550,45,2.0461055790478787e-06
480,1593640800000,Florida,3617,67,3.046423862137953e-06
481,1593727200000,Florida,3684,67,3.046423862137953e-06
482,1593813600000,Florida,3702,18,8.184422316191515e-07
483,1593900000000,Florida,3731,29,1.3186013731641886e-06
484,1593986400000,Florida,3778,47,2.13704360478334e-06
485,1594072800000,Florida,3841,63,2.8645478106670302e-06
486,1594159200000,Florida,3953,112,5.092529441185832e-06
487,1594245600000,Florida,4009,56,2.546264720592916e-06
488,1594332000000,Florida,4102,93,4.2286181966989496e-06
489,1594418400000,Florida,4197,95,4.319556222434411e-06
490,1594504800000,Florida,4242,45,2.0461055790478787e-06
491,1594591200000,Florida,4277,35,1.5914154503705725e-06
492,1594677600000,Florida,4409,132,6.001909698540445e-06
493,1594764000000,Florida,4521,112,5.092529441185832e-06
494,1594850400000,Florida,4677,156,7.09316600736598e-06
495,1594936800000,Florida,4805,128,5.820033647069522e-06
496,1595023200000,Florida,4895,90,4.0922111580957575e-06
497,1595109600000,Florida,4982,87,3.9558041194925654e-06
498,1595196000000,Florida,5072,90,4.0922111580957575e-06
499,1595282400000,Florida,5206,134,6.092847724275906e-06
500,1595368800000,Florida,5345,139,6.320192788614559e-06
501,1595455200000,Florida,5518,173,7.866139226117401e-06
502,1595541600000,Florida,5653,135,6.138316737143637e-06
503,1595628000000,Florida,5777,124,5.6381575955986e-06
